Issue ID,Parent ID,Issue Type,Summary,Description,Sprint,Assignee,Priority,Start Date,Due Date,Story Points,Labels
205,204,Task,Merge All Modules,Ensure all routes controllers models work together,Sprint 4,thuva,Highest,08/Aug/26,09/Aug/26,,backend
206,204,Task,API Integration Verification,Test all API endpoints end-to-end,Sprint 4,thuva,Highest,09/Aug/26,10/Aug/26,,backend
207,204,Task,AI Service Integration,Verify Python AI service communicates correctly with Node.js backend,Sprint 4,thuva,Highest,10/Aug/26,10/Aug/26,,ai-service
208,204,Task,Database Integrity Check,Verify all references indexes no orphaned records,Sprint 4,thuva,High,10/Aug/26,11/Aug/26,,database
209,204,Task,Frontend-Backend Integration,All UI pages connected to APIs error handling loading states,Sprint 4,divagar,Highest,09/Aug/26,11/Aug/26,,frontend
210,204,Task,Cross-module Navigation,Dashboard links to all modules breadcrumbs back navigation,Sprint 4,divagar,High,11/Aug/26,11/Aug/26,,frontend
211,9,Story,Testing & Quality Assurance,Comprehensive testing across all modules,Sprint 4,bijon,Highest,08/Aug/26,14/Aug/26,13,testing
212,211,Task,Unit Testing - Auth Module,Test login register JWT RBAC,Sprint 4,bijon,High,08/Aug/26,09/Aug/26,,testing
213,211,Task,Unit Testing - Recruitment Module,Test job CRUD candidate CRUD AI ranking,Sprint 4,bijon,High,09/Aug/26,09/Aug/26,,testing
214,211,Task,Unit Testing - Employee Module,Test CRUD profile skills performance,Sprint 4,bijon,High,09/Aug/26,10/Aug/26,,testing
215,211,Task,Unit Testing - Project/Task Module,Test CRUD status changes document upload,Sprint 4,bijon,High,10/Aug/26,10/Aug/26,,testing
216,211,Task,Unit Testing - Attendance Module,Test clock in/out hours calculation leave workflow,Sprint 4,bijon,High,10/Aug/26,11/Aug/26,,testing
217,211,Task,Integration Testing,Test all modules working together data flow,Sprint 4,bijon,Highest,11/Aug/26,12/Aug/26,,testing
218,211,Task,End-to-End Testing,Full user journey register login create project assign track report,Sprint 4,bijon,Highest,12/Aug/26,12/Aug/26,,testing
219,211,Task,Security Testing,RBAC verification XSS CSRF input validation,Sprint 4,maari,High,11/Aug/26,12/Aug/26,,testing
220,211,Task,Performance Testing,API response times concurrent users database query optimization,Sprint 4,bijon,Medium,12/Aug/26,13/Aug/26,,testing
221,211,Task,Bug Fixing,Fix all critical and high priority bugs,Sprint 4,bijon,Highest,12/Aug/26,13/Aug/26,,bug
222,211,Task,Final QA Sign-off,Verify all bugs fixed acceptance criteria met,Sprint 4,bijon,Highest,13/Aug/26,14/Aug/26,,testing
223,9,Story,Deployment Preparation,Setup production environment and final demo build,Sprint 4,divagar,High,11/Aug/26,14/Aug/26,5,deployment
224,223,Task,Production Environment Setup,Configure production server domain SSL,Sprint 4,divagar,High,11/Aug/26,12/Aug/26,,deployment
225,223,Task,Environment Variables Configuration,Set production env vars for all services,Sprint 4,divagar,High,12/Aug/26,12/Aug/26,,deployment
226,223,Task,Build Frontend for Production,npm run build verify production bundle,Sprint 4,divagar,High,12/Aug/26,13/Aug/26,,deployment
227,223,Task,Build Backend for Production,Test with production database verify APIs,Sprint 4,divagar,High,13/Aug/26,13/Aug/26,,deployment
228,223,Task,Final Demo Build,Prepare demo-ready build with sample data,Sprint 4,divagar,Highest,13/Aug/26,14/Aug/26,,deployment
229,9,Story,Client Meeting 3 - Final Acceptance,Demo complete system and obtain client sign-off,Sprint 4,bijon,Highest,12/Aug/26,14/Aug/26,3,documentation
230,229,Task,Prepare Demo Script,Step-by-step demo walkthrough for all modules,Sprint 4,bijon,High,12/Aug/26,13/Aug/26,,documentation
231,229,Task,Prepare Demo Data,Realistic data for all modules,Sprint 4,thuva,High,13/Aug/26,13/Aug/26,,database
232,229,Task,Client Presentation,Demo complete system to client,Sprint 4,bijon,Highest,14/Aug/26,14/Aug/26,,documentation
233,229,Task,Collect Final Feedback,Document client feedback and minor fixes,Sprint 4,bijon,High,14/Aug/26,14/Aug/26,,documentation
234,10,Story,Project Documentation - Divagar,Sprint reports deployment summary and presentation,Week 10,divagar,Highest,15/Aug/26,21/Aug/26,5,documentation
235,234,Task,Final Project Report,Complete project report with all phases,Week 10,divagar,Highest,15/Aug/26,17/Aug/26,,documentation
236,234,Task,Sprint Reports (All 4 Sprints),Sprint review summaries and burndown data,Week 10,divagar,High,15/Aug/26,16/Aug/26,,documentation
237,234,Task,Deployment Summary,Document deployment process and configuration,Week 10,divagar,High,17/Aug/26,18/Aug/26,,documentation
238,234,Task,Presentation Slides (PPT),Create final presentation for project demo,Week 10,divagar,Highest,18/Aug/26,20/Aug/26,,documentation
239,234,Task,Final Demo Preparation,Prepare system for final demonstration,Week 10,divagar,Highest,20/Aug/26,21/Aug/26,,documentation
240,10,Story,Technical Documentation - Thuva,Architecture API and database documentation,Week 10,thuva,Highest,15/Aug/26,21/Aug/26,5,documentation
241,240,Task,Architecture Diagram (Final),Complete system architecture diagram,Week 10,thuva,Highest,15/Aug/26,16/Aug/26,,documentation
242,240,Task,ER Diagram (Final),Complete entity-relationship diagram,Week 10,thuva,Highest,16/Aug/26,17/Aug/26,,documentation
243,240,Task,API Documentation (All Endpoints),Document all REST API endpoints with examples,Week 10,thuva,Highest,17/Aug/26,19/Aug/26,,documentation
244,240,Task,Installation Guide,Step-by-step setup and installation guide,Week 10,thuva,High,19/Aug/26,20/Aug/26,,documentation
245,240,Task,Database Schema Documentation,Document all collections fields and relationships,Week 10,thuva,High,20/Aug/26,21/Aug/26,,documentation
246,10,Story,QA Documentation - Bijon,SRS test report user manual and QA documentation,Week 10,bijon,Highest,15/Aug/26,21/Aug/26,5,documentation
247,246,Task,SRS (Software Requirements Specification),Complete SRS document,Week 10,bijon,Highest,15/Aug/26,17/Aug/26,,documentation
248,246,Task,Test Report (All Test Results),Document all test cases and results,Week 10,bijon,Highest,17/Aug/26,18/Aug/26,,documentation
249,246,Task,QA Report,Quality assurance summary report,Week 10,bijon,High,18/Aug/26,19/Aug/26,,documentation
250,246,Task,User Manual,Complete user manual for all system features,Week 10,bijon,High,19/Aug/26,20/Aug/26,,documentation
251,246,Task,Final System Review,Verify system is ready for presentation,Week 10,bijon,Highest,20/Aug/26,21/Aug/26,,documentation
252,10,Story,Risk Documentation - Maari,Risk report lessons learned and project closure,Week 10,maari,High,15/Aug/26,21/Aug/26,3,documentation
253,252,Task,Risk Report (All Sprints),Consolidated risk report from all sprints,Week 10,maari,High,15/Aug/26,17/Aug/26,,documentation
254,252,Task,Lessons Learned,Document project lessons and improvements,Week 10,maari,High,17/Aug/26,18/Aug/26,,documentation
255,252,Task,Project Closure Report,Project closure and handover documentation,Week 10,maari,High,18/Aug/26,20/Aug/26,,documentation
256,252,Task,Security Audit Report,Final security assessment report,Week 10,maari,High,20/Aug/26,21/Aug/26,,documentation
